hyperparametre,accuracy moyenne train,accuracy moyenne test
"hidden_layers=(8,)",0.9969166666666666,0.9435
"hidden_layers=(32,)",0.9962500000000001,0.942
"hidden_layers=(16,)",0.9963333333333333,0.94175
"hidden_layers=(64,)",0.9963333333333333,0.9384999999999999
"hidden_layers=(4,)",0.9939166666666666,0.9267500000000001
learning_rate=0.05,0.981625,0.889
"hidden_layers=(4, 4)",0.9859166666666667,0.8847500000000001
batch_size=512,0.9620625,0.8785000000000001
batch_size=256,0.9588958333333333,0.8760625
learning_rate=0.005,0.9393333333333334,0.8655625
"hidden_layers=(2,)",0.9328333333333334,0.7745000000000002
"hidden_layers=(2, 2)",0.7853333333333333,0.6665
